Test Sponsor,System Name,Paralled,Base Threads,Base Results,Peak Results
ASUSTeK Computer Inc.,"ASUS RS700A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,128,128,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.95 GHz, AMD EPYC 75F3",Yes,64,64,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.80 GHz, AMD EPYC 7543",Yes,64,64,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.30 GHz, AMD EPYC 7643",Yes,96,96,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.20 GHz, AMD EPYC 74F3",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.30 GHz, Intel Xeon Platinum 8380)",Yes,80,80,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8368Q)",Yes,76,76,2
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.45 GHz, AMD EPYC 7763",Yes,64,64,1
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7663",Yes,112,112,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.70 GHz, AMD EPYC 72F3",Yes,32,16,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.60 GHz, AMD EPYC 7513",Yes,64,64,2
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7713",Yes,64,64,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.95 GHz, AMD EPYC 75F3",Yes,32,32,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.00 GHz, AMD EPYC 7663",Yes,56,56,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.70 GHz, AMD EPYC 72F3",Yes,16,8,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.30 GHz, AMD EPYC 7643",Yes,48,48,1
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Platinum 8352V)",Yes,72,72,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.20 GHz, Intel Xeon Platinum 8352Y)",Yes,64,64,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Platinum 8362)",Yes,64,64,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.10 GHz, Intel Xeon Gold 6346)",Yes,32,32,2
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.50 GHz, AMD EPYC 73F3",Yes,32,16,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 74F3",Yes,24,24,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.65 GHz, AMD EPYC 7413",Yes,24,24,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.60 GHz, AMD EPYC 7513",Yes,32,32,1
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.50 GHz, AMD EPYC 73F3",Yes,64,32,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.65 GHz, AMD EPYC 7413",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.75 GHz, AMD EPYC 7453",Yes,56,56,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8351N)",Yes,36,36,1
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8360Y)",Yes,72,72,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Platinum 8368)",Yes,76,76,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.40 GHz, Intel Xeon Gold 6336Y)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.85 GHz, AMD EPYC 7443",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.85 GHz, AMD EPYC 7443",Yes,24,24,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.75 GHz, AMD EPYC 7453",Yes,28,28,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 2.80 GHz, AMD EPYC 7543P",Yes,32,32,1
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.00 GHz, AMD EPYC 7313",Yes,32,32,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 3.20 GHz, AMD EPYC 7343",Yes,64,32,2
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.00 GHz, AMD EPYC 7313",Yes,32,16,1
ASUSTeK Computer Inc.,"ASUS RS520A-E11(KMPA-U16) Server System 3.20 GHz, AMD EPYC 7343",Yes,32,16,1
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 5318S)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.10 GHz, Intel Xeon Gold 6338T)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.80 GHz, Intel Xeon Gold 6342)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.60 GHz, Intel Xeon Gold 6334)",Yes,32,16,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (2.60 GHz, Intel Xeon Platinum 8358)",Yes,64,64,2
ASUSTeK Computer Inc.,"ASUS RS700-E10(Z12PP-D32) Server System (3.00 GHz, Intel Xeon Gold 5317)",Yes,24,24,2
